FaceID,X,Y,Z,Heat Flux
321,0.079099874,0.141077967,0.534001322,1238366.274
322,0.079587608,0.140720169,0.540297994,1238366.274
323,0.079571609,0.141555369,0.552590332,1243892.958
324,0.079065976,0.142756836,0.558736003,1243892.958
325,0.081488708,0.117831818,0.229461441,1561731.947
326,0.080981176,0.119309179,0.240343511,1693364.797
327,0.081467044,0.11901163,0.247778376,-136591.9074
328,0.080959544,0.120494647,0.25873291,1170281.598
329,0.081445409,0.120194275,0.266090535,0
330,0.080936007,0.121683886,0.277119446,1207105.367
331,0.081421872,0.121382571,0.284403636,1145178.293
332,0.08091154,0.122878771,0.29550884,1210511.325
333,0.081397408,0.122574636,0.302716756,0
334,0.080888008,0.124075544,0.313892598,1211803.489
335,0.081373876,0.123771408,0.321024272,1217775.386
336,0.08086351,0.12528079,0.332276377,1213180.314
337,0.081349375,0.124972885,0.339332713,1221978.073
338,0.08083994,0.126486036,0.35065917,1215732.636
339,0.081325806,0.126176249,0.357637339,1231413.933
340,0.08081544,0.127697876,0.369037242,1216572.889
341,0.081301308,0.127386202,0.37593928,1241941.545
342,0.080790042,0.128914416,0.387413544,1219745.271
343,0.081275909,0.128600863,0.394241007,1255834.856
344,0.08076371,0.13013473,0.405788676,1235903.727
345,0.081251442,0.129816472,0.412540009,1260443.356
346,0.080740173,0.131355982,0.424163005,1255082.619
347,0.081227905,0.131035833,0.430840668,1257354.756
348,0.080715673,0.132582876,0.442539001,1255117.379
349,0.081203407,0.132260849,0.449138672,1255209.185
350,0.080692108,0.133814489,0.460908671,1253550.936
351,0.081179876,0.133488698,0.467433004,1251620.643
352,0.080667643,0.135047984,0.479279338,1250396.083
353,0.081155411,0.134720311,0.485727346,1247495.171
354,0.080641276,0.136288066,0.497647013,1244225.706
355,0.081129041,0.135956624,0.504019012,1242375.239
356,0.080614906,0.137530039,0.516013336,1240732.981
357,0.081105507,0.137195775,0.522310008,1240732.981
358,0.080591375,0.138774836,0.534378337,1244043.107
359,0.081081009,0.138436793,0.540600342,1244043.107
360,0.081064974,0.13926446,0.552742004,1251254.682
361,0.080559341,0.140437703,0.558812337,1251254.682
362,0.082990575,0.114651103,0.215509766,1629677.515
363,0.082482109,0.116090803,0.226165838,1561731.947
364,0.082967977,0.11581867,0.233601639,-138083.1684
365,0.082460444,0.117262136,0.244332108,1168653.503
366,0.082946309,0.116986234,0.25169161,0
367,0.082438774,0.118435356,0.262495504,1191825.493
368,0.082924639,0.118159457,0.269779683,0
369,0.08241714,0.11961706,0.280658905,1213789.707
370,0.082903008,0.119339292,0.287866842,0
371,0.082393608,0.120800667,0.298819489,1216661.7
372,0.082879476,0.120518188,0.305951162,0
373,0.082369143,0.121988022,0.316980103,1210414.622
374,0.082855008,0.121706484,0.324035502,1229621.12
375,0.082345606,0.123181966,0.335136007,1215503.036
376,0.082831472,0.122895719,0.342115133,1233511.143
377,0.082321106,0.124376851,0.353290009,1221357.989
378,0.08280884,0.124089666,0.360193776,1244460.685
379,0.082299408,0.12557739,0.371443146,1226869.294
380,0.082787175,0.125285494,0.378270742,1261009.331
381,0.082274943,0.126780754,0.38959434,1235853.865
382,0.082762711,0.126486977,0.396347341,1270127.298
383,0.082251409,0.127988828,0.407745341,1251998.58
384,0.082739174,0.127693166,0.414421336,1264628.027
385,0.082226939,0.129200661,0.425893667,1257354.756
386,0.082714706,0.128903114,0.432496002,1255983.989
387,0.082203407,0.13041626,0.444042674,1255209.185
388,0.082693041,0.130114009,0.450567006,1254058.918
389,0.082180809,0.131632807,0.462187337,1251620.643
390,0.082670443,0.131328669,0.468637329,1250919.781
391,0.082157277,0.132856888,0.480331004,1247495.171
392,0.082646909,0.132550868,0.486704671,1245948.304
393,0.082132807,0.13408285,0.498473012,1242375.239
394,0.082622439,0.13377212,0.504771342,1241991.974
395,0.082109273,0.13531163,0.516614014,1244002.942
396,0.082598874,0.134999964,0.522836009,1244002.942
397,0.082084742,0.136546066,0.534754008,1251111.229
398,0.082574343,0.136230632,0.540899658,1251111.229
399,0.082558342,0.137049815,0.552891663,1258429.357
400,0.082052706,0.138192917,0.558887675,1258429.357
401,0.084490509,0.11157397,0.202011037,1812064.643
402,0.083983943,0.11297317,0.212441101,1629677.515
403,0.084469808,0.112725535,0.219875936,-141387.3306
404,0.083962308,0.114131335,0.230380402,1162578.532
405,0.084448174,0.113881803,0.237739934,0
406,0.083939707,0.115293236,0.248320674,1191943.432
407,0.084425573,0.115040901,0.25560581,0
408,0.08391804,0.116458,0.266260925,1209795.174
409,0.084406741,0.116203768,0.273468872,0
410,0.083899208,0.117627457,0.284195567,1215829.291
411,0.084385076,0.117369456,0.29132722,0
412,0.083874743,0.118798813,0.302130168,1223548.825
413,0.084360608,0.118538925,0.309188365,0
414,0.083851206,0.119976763,0.320064758,1217775.386
415,0.084338938,0.119716883,0.327043894,1236984.835
416,0.083828606,0.121160357,0.337993764,1221978.073
417,0.08431634,0.120896711,0.344897573,1244538.079
418,0.083806941,0.122344887,0.355922709,1231413.933
419,0.084296542,0.122077474,0.362751139,1259009.221
420,0.083786209,0.123530357,0.373849803,1241941.545
421,0.084273944,0.123262001,0.380603068,1275039.456
422,0.083762678,0.124723361,0.391777008,1255834.856
423,0.084250409,0.124451241,0.398454671,1275163.611
424,0.083738207,0.125919195,0.409700999,1260443.356
425,0.084227839,0.12564519,0.416301666,1264868.663
426,0.083716573,0.127121615,0.427624339,1255983.989
427,0.084206174,0.126843842,0.434150675,1254842.405
428,0.083693942,0.12832309,0.445546672,1254058.918
429,0.084183576,0.128042493,0.451996663,1252104.611
430,0.08367231,0.129529274,0.46346699,1250919.781
431,0.084162877,0.129247739,0.469840658,1251260.174
432,0.083650642,0.130741114,0.481384664,1245948.304
433,0.084140274,0.130455811,0.487682007,1246506.537
434,0.083626172,0.131954834,0.499300344,1241991.974
435,0.08411674,0.131665761,0.505522349,1243875.678
436,0.083602608,0.133171382,0.517215342,1248287.988
437,0.084092242,0.132879481,0.523361348,1248287.988
438,0.08357811,0.134392629,0.535127665,1257780.17
439,0.084070577,0.134096018,0.541199992,1257780.17
440,0.084056442,0.134905797,0.553042318,1264656.716
441,0.083547974,0.136021591,0.558961995,1264656.716
442,0.085992376,0.108601334,0.188960571,1778632.957
443,0.08548391,0.109961001,0.199165507,1812064.643
444,0.085971642,0.109736903,0.206600337,-143873.3785
445,0.085464106,0.111102236,0.216880702,1194301.345
446,0.085949972,0.110876269,0.224242132,0
447,0.085441538,0.112250036,0.234596898,1194212.506
448,0.085929306,0.112024038,0.241883001,0
449,0.085421806,0.11340347,0.252311172,1219197.687
450,0.085909541,0.113172803,0.259519104,0
